course_id,course_name,platform,category,sub_category,instructor,duration_hours,price_inr,rating,reviews,level,language,skills,description,certificate,popularity,prerequisites,completion_rate
C100001,Python Complete Bootcamp 1,LinkedIn Learning,Programming,Python,Instructor_486,21,3499,4.5,19038,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,306548,None,92.3
C100002,Python Complete Bootcamp 2,FutureLearn,Programming,Python,Instructor_20,13,3499,4.1,63138,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,434508,None,94.7
C100003,Python Complete Bootcamp 3,Coursera,Programming,Python,Instructor_296,76,3499,3.6,58005,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,220749,Basic Programming,69.1
C100004,Python Complete Bootcamp 4,Skillshare,Programming,Python,Instructor_287,25,399,4.4,167537,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,288175,None,70.6
C100005,Python Complete Bootcamp 5,FutureLearn,Programming,Python,Instructor_255,70,3499,4.7,122104,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,158164,Basic Programming,85.0
C100006,Python Complete Bootcamp 6,FutureLearn,Programming,Python,Instructor_42,75,1499,4.3,229462,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,320269,None,42.4
C100007,Python Complete Bootcamp 7,Khan Academy,Programming,Python,Instructor_85,45,699,4.9,110595,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,179322,Mathematics,72.4
C100008,Python Complete Bootcamp 8,DataCamp,Programming,Python,Instructor_36,13,1499,4.2,174153,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,340281,Computer Fundamentals,52.9
C100009,Python Complete Bootcamp 9,Khan Academy,Programming,Python,Instructor_455,46,0,4.9,93232,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,31909,Basic Programming,83.4
C100010,Python Complete Bootcamp 10,edX,Programming,Python,Instructor_379,33,3499,4.1,228488,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,236503,Computer Fundamentals,69.6
C100011,Python Complete Bootcamp 11,edX,Programming,Python,Instructor_420,57,1499,4.6,94099,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,80126,None,46.1
C100012,Python Complete Bootcamp 12,FutureLearn,Programming,Python,Instructor_338,31,0,4.2,154485,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,3146,Basic Programming,61.4
C100013,Python Complete Bootcamp 13,LinkedIn Learning,Programming,Python,Instructor_313,74,2499,4.9,181058,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,472614,Computer Fundamentals,60.1
C100014,Python Complete Bootcamp 14,Khan Academy,Programming,Python,Instructor_54,63,3499,3.6,17704,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,58634,Mathematics,72.8
C100015,Python Complete Bootcamp 15,Udemy,Programming,Python,Instructor_1,74,699,4.3,248811,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,459401,Basic Programming,73.7
C100016,Python Complete Bootcamp 16,edX,Programming,Python,Instructor_325,34,2499,4.4,124345,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,245312,Computer Fundamentals,65.5
C100017,Python Complete Bootcamp 17,Udemy,Programming,Python,Instructor_74,15,2499,4.6,125517,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,108591,Mathematics,44.2
C100018,Python Complete Bootcamp 18,Coursera,Programming,Python,Instructor_389,69,1499,5.0,226365,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,477189,Basic Programming,57.4
C100019,Python Complete Bootcamp 19,FutureLearn,Programming,Python,Instructor_273,71,2499,4.5,160804,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,388906,Basic Programming,47.6
C100020,Python Complete Bootcamp 20,DataCamp,Programming,Python,Instructor_183,5,0,4.7,123844,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,235476,Mathematics,95.2
C100021,Python Complete Bootcamp 21,LinkedIn Learning,Programming,Python,Instructor_42,30,399,3.8,51615,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,328190,None,65.2
C100022,Python Complete Bootcamp 22,LinkedIn Learning,Programming,Python,Instructor_410,12,399,4.9,205126,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,467097,Basic Programming,62.3
C100023,Python Complete Bootcamp 23,LinkedIn Learning,Programming,Python,Instructor_45,52,4999,4.1,248247,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,67604,None,44.5
C100024,Python Complete Bootcamp 24,DataCamp,Programming,Python,Instructor_413,20,4999,4.5,91907,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,8467,None,68.2
