user_id,age,country,education,interest,skill_level,preferred_platform,learning_goal,weekly_hours,completed_courses
U00001,32,Germany,Student,Cybersecurity,Intermediate,Skillshare,Certification,4,10
U00002,53,UK,Postgraduate,Programming,Advanced,LinkedIn Learning,College Project,21,1
U00003,53,Germany,Graduate,Web,Intermediate,Skillshare,Upskilling,14,17
U00004,28,UK,Postgraduate,Design,Intermediate,DataCamp,Certification,18,49
U00005,53,Canada,Graduate,Data Science,Beginner,LinkedIn Learning,Interview Prep,6,29
U00006,30,Canada,Graduate,Web,Beginner,Khan Academy,Interview Prep,27,8
U00007,35,Canada,Postgraduate,Design,Beginner,edX,College Project,22,2
U00008,23,UK,Graduate,Soft Skills,Beginner,Coursera,Upskilling,19,35
U00009,44,India,Student,Mobile,Advanced,Udemy,Career Switch,5,14
U00010,33,Australia,Postgraduate,Business,Advanced,DataCamp,Career Switch,12,0
U00011,45,Canada,Student,Soft Skills,Intermediate,DataCamp,Upskilling,17,1
U00012,40,USA,Student,Design,Intermediate,Udemy,Career Switch,9,31
U00013,32,USA,Postgraduate,Cybersecurity,Intermediate,edX,Career Switch,17,32
U00014,25,Canada,Graduate,Web,Beginner,Skillshare,Promotion,8,33
U00015,31,Canada,Postgraduate,Programming,Advanced,Coursera,Career Switch,13,8
U00016,42,Canada,Student,Business,Intermediate,LinkedIn Learning,Upskilling,4,18
U00017,23,Canada,Postgraduate,AI,Beginner,FutureLearn,Career Switch,5,22
U00018,34,Germany,Postgraduate,Business,Beginner,DataCamp,Career Switch,23,17
U00019,54,Germany,Student,Mobile,Advanced,LinkedIn Learning,Certification,2,16
U00020,44,Germany,Postgraduate,Soft Skills,Intermediate,LinkedIn Learning,Promotion,8,31
U00021,46,Australia,Postgraduate,Data Science,Intermediate,Udemy,College Project,20,40
U00022,35,UK,Graduate,Cybersecurity,Advanced,edX,Upskilling,29,35
U00023,45,Canada,Student,AI,Intermediate,Khan Academy,Certification,14,26
U00024,24,Australia,Graduate,Cybersecurity,Beginner,DataCamp,Promotion,29,30
U00025,55,USA,Graduate,Mobile,Intermediate,Khan Academy,Upskilling,7,28
U00026,27,Germany,Graduate,Design,Intermediate,edX,College Project,15,44
U00027,55,Germany,Graduate,Cloud,Advanced,LinkedIn Learning,Career Switch,28,31
U00028,38,Germany,Postgraduate,Business,Beginner,edX,Upskilling,23,5
U00029,47,USA,Postgraduate,Cloud,Beginner,edX,Promotion,26,3
U00030,21,Australia,Student,Design,Intermediate,Coursera,Interview Prep,19,20
U00031,21,Australia,Student,Data Science,Beginner,LinkedIn Learning,Certification,15,25
U00032,45,India,Student,Design,Beginner,LinkedIn Learning,Upskilling,4,4
U00033,30,UK,Graduate,Soft Skills,Beginner,edX,Promotion,25,29
U00034,29,Germany,Student,AI,Intermediate,Khan Academy,Interview Prep,14,42
U00035,51,USA,Graduate,Design,Intermediate,Skillshare,Interview Prep,25,13
U00036,28,India,Student,Cybersecurity,Intermediate,Khan Academy,Promotion,11,39
U00037,38,UK,Graduate,Web,Beginner,Udemy,Upskilling,10,37
U00038,33,UK,Postgraduate,Data Science,Advanced,Khan Academy,Certification,28,6
U00039,43,India,Postgraduate,Cloud,Beginner,LinkedIn Learning,College Project,13,45
U00040,19,Australia,Postgraduate,AI,Intermediate,edX,Upskilling,12,40
U00041,32,Germany,Postgraduate,Business,Beginner,Udemy,College Project,28,15
U00042,37,Germany,Graduate,Cybersecurity,Advanced,Udemy,Upskilling,12,48
U00043,53,Germany,Student,Design,Advanced,Khan Academy,College Project,11,16
U00044,31,Germany,Graduate,Programming,Beginner,Khan Academy,Upskilling,11,36
U00045,51,Canada,Postgraduate,Programming,Beginner,Coursera,Upskilling,30,48
U00046,42,Australia,Student,Cybersecurity,Beginner,LinkedIn Learning,College Project,28,24
U00047,33,Germany,Student,Data Science,Advanced,FutureLearn,Promotion,16,43
U00048,33,Australia,Postgraduate,Soft Skills,Advanced,FutureLearn,Promotion,6,33
U00049,38,UK,Postgraduate,Programming,Intermediate,DataCamp,Interview Prep,11,33
U00050,38,Germany,Postgraduate,Cybersecurity,Advanced,DataCamp,Interview Prep,22,2
U00051,47,UK,Student,AI,Intermediate,Coursera,Career Switch,29,0
U00052,54,India,Graduate,Design,Beginner,FutureLearn,Promotion,17,6
U00053,23,Germany,Postgraduate,AI,Advanced,Udemy,Promotion,19,46
U00054,29,Germany,Student,Web,Intermediate,FutureLearn,Interview Prep,11,4
U00055,21,Canada,Student,Programming,Advanced,DataCamp,Upskilling,17,28
U00056,19,Germany,Graduate,Mobile,Advanced,Skillshare,College Project,28,44
U00057,49,Canada,Postgraduate,Cybersecurity,Beginner,Khan Academy,Interview Prep,16,11
U00058,33,India,Graduate,Cloud,Beginner,LinkedIn Learning,College Project,24,48
U00059,49,Germany,Postgraduate,Cybersecurity,Intermediate,Coursera,College Project,28,21
U00060,53,UK,Graduate,AI,Advanced,Khan Academy,Upskilling,27,43
U00061,18,Canada,Postgraduate,Business,Advanced,edX,Career Switch,21,23
U00062,44,India,Graduate,Business,Advanced,LinkedIn Learning,Certification,26,13
U00063,18,Australia,Student,Web,Intermediate,Khan Academy,Career Switch,25,4
U00064,38,UK,Student,Business,Intermediate,edX,Certification,22,46
U00065,37,Germany,Student,Web,Intermediate,DataCamp,Certification,18,0
U00066,37,USA,Postgraduate,AI,Advanced,LinkedIn Learning,Career Switch,7,0
U00067,18,UK,Graduate,Cloud,Beginner,Coursera,Upskilling,5,8
U00068,22,Canada,Graduate,Programming,Advanced,LinkedIn Learning,Upskilling,26,25
U00069,24,Germany,Student,AI,Beginner,Udemy,Promotion,7,33
U00070,48,USA,Postgraduate,Mobile,Beginner,LinkedIn Learning,Upskilling,26,41
U00071,40,USA,Postgraduate,Mobile,Advanced,Udemy,Certification,14,0
U00072,21,UK,Student,Mobile,Beginner,Skillshare,College Project,26,32
U00073,21,USA,Postgraduate,Business,Beginner,Coursera,Certification,10,12
U00074,38,Canada,Graduate,AI,Intermediate,Coursera,Career Switch,13,4
U00075,39,Australia,Graduate,Web,Advanced,Skillshare,Career Switch,5,42
U00076,24,India,Postgraduate,Design,Advanced,FutureLearn,Upskilling,27,35
U00077,38,Australia,Postgraduate,Mobile,Beginner,Skillshare,Career Switch,14,13
U00078,27,Germany,Postgraduate,Soft Skills,Intermediate,DataCamp,Promotion,11,29
U00079,25,Canada,Postgraduate,Business,Intermediate,Skillshare,Upskilling,16,42
U00080,21,Australia,Graduate,Web,Advanced,LinkedIn Learning,College Project,30,29
U00081,50,Germany,Graduate,Cloud,Advanced,DataCamp,Career Switch,9,41
U00082,52,Germany,Postgraduate,Cloud,Intermediate,Khan Academy,Certification,23,7
U00083,38,UK,Graduate,Web,Advanced,DataCamp,Career Switch,13,3
U00084,33,USA,Postgraduate,Mobile,Beginner,Udemy,College Project,30,7
U00085,34,USA,Graduate,Mobile,Beginner,Skillshare,Interview Prep,15,49
U00086,21,Germany,Postgraduate,Cloud,Beginner,edX,Certification,15,23
U00087,37,Canada,Postgraduate,Mobile,Advanced,Khan Academy,College Project,24,46
U00088,37,India,Student,Programming,Advanced,edX,Promotion,6,41
U00089,36,India,Student,Web,Beginner,Udemy,Career Switch,5,45
U00090,21,Australia,Graduate,Mobile,Advanced,Skillshare,Promotion,16,28
U00091,37,Canada,Student,Data Science,Intermediate,Khan Academy,Certification,14,26
U00092,41,Australia,Student,Cybersecurity,Intermediate,Coursera,Promotion,11,28
U00093,25,Australia,Graduate,Data Science,Beginner,Udemy,College Project,9,30
U00094,40,USA,Graduate,Data Science,Intermediate,DataCamp,College Project,24,20
U00095,46,Canada,Postgraduate,Cloud,Intermediate,Skillshare,Promotion,15,5
U00096,18,Germany,Graduate,Design,Beginner,Khan Academy,College Project,25,10
U00097,39,UK,Graduate,Business,Intermediate,FutureLearn,Interview Prep,21,22
U00098,25,Germany,Student,Data Science,Advanced,Khan Academy,Interview Prep,6,48
U00099,48,India,Postgraduate,Business,Beginner,FutureLearn,Promotion,12,8
U00100,33,Canada,Graduate,Web,Beginner,Udemy,Promotion,10,8
U00101,24,Germany,Graduate,Design,Beginner,DataCamp,Interview Prep,18,47
U00102,24,India,Postgraduate,Cybersecurity,Intermediate,Coursera,Upskilling,7,0
U00103,49,UK,Graduate,AI,Intermediate,LinkedIn Learning,Interview Prep,2,5
U00104,45,UK,Graduate,Web,Advanced,Khan Academy,Upskilling,3,15
U00105,34,USA,Graduate,Soft Skills,Advanced,Coursera,College Project,13,8
U00106,33,Germany,Graduate,Soft Skills,Advanced,DataCamp,Promotion,9,27
U00107,54,Germany,Postgraduate,Programming,Intermediate,edX,Career Switch,17,26
U00108,40,India,Student,Programming,Intermediate,FutureLearn,College Project,11,26
U00109,49,USA,Graduate,Data Science,Intermediate,Skillshare,Promotion,22,10
U00110,26,Germany,Graduate,Mobile,Beginner,edX,College Project,3,26
U00111,49,India,Graduate,Web,Advanced,Khan Academy,Interview Prep,14,50
U00112,26,Canada,Student,Soft Skills,Beginner,Coursera,Certification,27,50
U00113,39,USA,Graduate,Design,Intermediate,Udemy,Career Switch,19,30
U00114,36,India,Graduate,Data Science,Advanced,Udemy,Promotion,12,25
U00115,25,Germany,Postgraduate,AI,Beginner,Coursera,Promotion,19,23
U00116,43,India,Postgraduate,Cybersecurity,Intermediate,Khan Academy,Upskilling,3,19
