course_id,course_name,platform,category,sub_category,instructor,duration_hours,price_inr,rating,reviews,level,language,skills,description,certificate,popularity,prerequisites,completion_rate,combined_features
C100003,Python Complete Bootcamp 3,Coursera,Programming,Python,Instructor_296,76,3499,3.6,58005,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,220749,Basic Programming,69.1,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Beginner"
C100005,Python Complete Bootcamp 5,FutureLearn,Programming,Python,Instructor_255,70,3499,4.7,122104,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,158164,Basic Programming,85.0,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Advanced"
C100007,Python Complete Bootcamp 7,Khan Academy,Programming,Python,Instructor_85,45,699,4.9,110595,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,179322,Mathematics,72.4,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Beginner"
C100008,Python Complete Bootcamp 8,DataCamp,Programming,Python,Instructor_36,13,1499,4.2,174153,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,340281,Computer Fundamentals,52.9,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Beginner"
C100009,Python Complete Bootcamp 9,Khan Academy,Programming,Python,Instructor_455,46,0,4.9,93232,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,31909,Basic Programming,83.4,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Beginner"
C100010,Python Complete Bootcamp 10,edX,Programming,Python,Instructor_379,33,3499,4.1,228488,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,236503,Computer Fundamentals,69.6,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Intermediate"
C100012,Python Complete Bootcamp 12,FutureLearn,Programming,Python,Instructor_338,31,0,4.2,154485,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,3146,Basic Programming,61.4,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Beginner"
C100013,Python Complete Bootcamp 13,LinkedIn Learning,Programming,Python,Instructor_313,74,2499,4.9,181058,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,472614,Computer Fundamentals,60.1,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Advanced"
C100014,Python Complete Bootcamp 14,Khan Academy,Programming,Python,Instructor_54,63,3499,3.6,17704,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,58634,Mathematics,72.8,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Beginner"
C100015,Python Complete Bootcamp 15,Udemy,Programming,Python,Instructor_1,74,699,4.3,248811,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,459401,Basic Programming,73.7,"Programming Python Python, Programming, Projects, Hands-on Comprehensive Python course with practical projects, quizzes, assessments and capstone. Intermediate"
